 warn --- config file  - /home/joost/.verdaccio/config.yaml
 warn --- Plugin successfully loaded: htpasswd
 warn --- http address - http://localhost:4873/ - verdaccio/3.11.6
 http <-- 200, user: null(127.0.0.1), req: 'GET /', bytes: 0/465
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/manifest.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/vendors.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/main.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/0.style.b3995fa65af1af21a5da.css', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/2.style.aa6da19a0a1767e8660a.css', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/1.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/6.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/4.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/4.style.48a69f37b9ef5242fccb.css', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /-/verdaccio/logo', bytes: 0/65
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/verdaccio/packages', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/manifest.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/vendors.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/main.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/0.style.b3995fa65af1af21a5da.css', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/2.style.aa6da19a0a1767e8660a.css', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/1.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/6.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/4.3ca3d9f201595bb1a872.js', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/static/4.style.48a69f37b9ef5242fccb.css', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/verdaccio/logo', bytes: 0/0
 http <-- 304, user: null(127.0.0.1), req: 'GET /-/verdaccio/packages', bytes: 0/0
